XBTUSD BGN Curncy,Date,Last Price,Closing Price 1d ago,
43044,2017-11-05,7369.78,#N/A N/A,
43045,2017-11-06,7127.39,7228.65,
43046,2017-11-07,7074.84,7127.39,
43047,2017-11-08,7260.63,7074.84,
43048,2017-11-09,7120.48,7260.63,
43049,2017-11-10,6581.83,7120.48,
43051,2017-11-12,5893.08,#N/A N/A,
43052,2017-11-13,6506.62,6581.83,
43053,2017-11-14,6590.9,6506.62,
43054,2017-11-15,7291.96,6590.9,
43055,2017-11-16,7892.22,7291.96,
43056,2017-11-17,7701.88,7892.22,
43058,2017-11-19,8019.16,#N/A N/A,
43059,2017-11-20,8245.04,7701.88,
43060,2017-11-21,8134.25,8245.04,
43061,2017-11-22,8203.84,8134.25,
43062,2017-11-23,8166.19,8203.84,
43063,2017-11-24,8249.34,8166.19,
43065,2017-11-26,9387.66,#N/A N/A,
43066,2017-11-27,9652.66,8249.34,
43067,2017-11-28,9944.74,9652.66,
43068,2017-11-29,10193.45,9944.74,
43069,2017-11-30,9653.93,10193.45,
43070,2017-12-01,10899.25,9653.93,
43072,2017-12-03,10930.29,#N/A N/A,
43073,2017-12-04,11500.01,10899.25,
43074,2017-12-05,11776.95,11500.01,
43075,2017-12-06,13346.75,11776.95,
43076,2017-12-07,16051.08,13346.75,
43077,2017-12-08,15644,16051.08,
43079,2017-12-10,14705.41,#N/A N/A,
43080,2017-12-11,17148.2,15644,
43081,2017-12-12,17248.22,17148.2,
43082,2017-12-13,16752,17248.22,
43083,2017-12-14,16503.72,16752,
43084,2017-12-15,17630.12,16503.72,
43086,2017-12-17,19041.63,#N/A N/A,
43087,2017-12-18,18674.48,17630.12,
43088,2017-12-19,16964.39,18674.48,
43089,2017-12-20,16210.13,16964.39,
43090,2017-12-21,15385.2,16210.13,
43091,2017-12-22,14239.65,15385.2,
43093,2017-12-24,13147.99,#N/A N/A,
43094,2017-12-25,13768.02,14239.65,
43095,2017-12-26,15925,13768.02,
43096,2017-12-27,15189.39,15925,
43097,2017-12-28,13939.48,15189.39,
43098,2017-12-29,14310.94,13939.48,
43100,2017-12-31,14043.06,#N/A N/A,
43101,2018-01-01,13624.57,14310.94,
43102,2018-01-02,14784.6,13624.57,
43103,2018-01-03,15055.23,14784.6,
43104,2018-01-04,14946.35,15055.23,
43105,2018-01-05,16753.24,14946.35,
43107,2018-01-07,16200,#N/A N/A,
43108,2018-01-08,14935.7,16753.24,
43109,2018-01-09,14554.08,14935.7,
43110,2018-01-10,14494.74,14554.08,
43111,2018-01-11,13462.98,14494.74,
43112,2018-01-12,13746.58,13462.98,
43114,2018-01-14,13383.28,#N/A N/A,
43115,2018-01-15,13916.82,13746.58,
43116,2018-01-16,10720,13916.82,
43117,2018-01-17,11376.69,10720,
43118,2018-01-18,11605.5,11376.69,
43119,2018-01-19,11366.61,11605.5,
43121,2018-01-21,11366.62,#N/A N/A,
43122,2018-01-22,10354,11366.61,
43123,2018-01-23,10981.05,10354,
43124,2018-01-24,11213.37,10981.05,
43125,2018-01-25,11256.52,11213.37,
43126,2018-01-26,10874.79,11256.52,
43128,2018-01-28,11755.16,#N/A N/A,
43129,2018-01-29,11207,10874.79,
43130,2018-01-30,10086.8,11207,
43131,2018-01-31,9962.31,10086.8,
43132,2018-02-01,9094.2,9962.31,
43133,2018-02-02,8570,9094.2,
43135,2018-02-04,8077.39,#N/A N/A,
43136,2018-02-05,7100.87,8570,
43137,2018-02-06,7764.6,7100.87,
43138,2018-02-07,8087.51,7764.6,
43139,2018-02-08,8171.19,8087.51,
43140,2018-02-09,8552.65,8171.19,
43142,2018-02-11,8315.1,#N/A N/A,
43143,2018-02-12,8831.25,8552.65,
43144,2018-02-13,8557.91,8831.25,
43145,2018-02-14,9287.96,8557.91,
43146,2018-02-15,9873.45,9287.96,
43147,2018-02-16,10088.2,9873.45,
43149,2018-02-18,10784.81,#N/A N/A,
43150,2018-02-19,11081.41,10088.2,
43151,2018-02-20,11705.73,11081.41,
